movieId_Old,title,genres,release_year,description,directors,country,duration,image,video_id,subscription_required,tags,check,url,movieId
11,"American President, The","Comedy, Drama, Romance",1995,"Andrew Shepherd is approaching the end of his first term as President of the United States. He's a widower with a young daughter and has proved to be popular with the public. His election seems assured. That is until he meets Sydney Ellen Wade, a paid political activist working for an environmental lobby group. He's immediately smitten with her and after several amusing attempts, they finally manage to go on a date (which happens to be a State dinner for the visiting President of France). His relationship with Wade opens the door for his prime political opponent, Senator Bob Rumson, to launch an attack on the President's character, something he could not do in the previous election as Shepherd's wife had only recently died.",Rob Reiner,United States,114,movie_images/Movie11 The American President.jpg,NULabIAGubY,0,most popular,TRUE,https://www.youtube.com/watch?v=NULabIAGubY,11
13,Balto,"Adventure, Animation, Children",1995,"A half-wolf, half-husky named Balto gets a chance to become a hero when an outbreak of diphtheria threatens the children of Nome, Alaska in the winter of 1925. He leads a dog team on a 600-mile trip across the Alaskan wilderness to get medical supplies. The film is based on a true story which inspired the Iditarod dog sled race.",Simon Wells,"United States, United Kingdom",78,movie_images/Movie13 Balto.jpg,HJwvbmRXym4,1,most popular,TRUE,https://www.youtube.com/watch?v=HJwvbmRXym4,12
14,Nixon,Drama,1995,"Writer, Producer, and Director Oliver Stone's exploration of former President Richard Nixon's strict Quaker upbringing, his nascent political strivings in law school, and his strangely self-effacing courtship of his wife, Pat (Joan Allen). The contradictions in his character are revealed early, in the vicious campaign against Helen Gahagan Douglas and the oddly masochistic Checkers speech. His defeat at the hands of the hated and envied John F. Kennedy in the 1960 presidential election, followed by the loss of the 1962 California gubernatorial race, seem to signal the end of his career. Yet, although wholly lacking in charisma, Nixon remains a brilliant political operator, seizing the opportunity provided by the backlash against the antiwar movement to take the Presidency in 1968. It is only when safely in office, running far ahead in the polls for the 1972 Presidential election, that his growing paranoia comes to full flower, triggering the Watergate scandal.",Oliver Stone,United States,192,movie_images/Movie14 Nixon.jpg,4eFxWLPRuoo,1,most popular,TRUE,https://www.youtube.com/watch?v=4eFxWLPRuoo,13
15,Cutthroat Island,"Action, Adventure, Romance",1995,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her piratical raids.",Renny Harlin,"France, Italy, Germany, United States",124,movie_images/Movie15 Cutthroat Island.jpg,7z8IARBbpzU,1,most popular,TRUE,https://www.youtube.com/watch?v=7z8IARBbpzU,14
16,Casino,"Crime, Drama",1995,"This Martin Scorsese film depicts the Janus-like quality of Las Vegas--it has a glittering, glamorous face, as well as a brutal, cruel one. Ace Rothstein and Nicky Santoro, mobsters who move to Las Vegas to make their mark, live and work in this paradoxical world. Seen through their eyes, each as a foil to the other, the details of mob involvement in the casinos of the 1970s and '80s are revealed. Ace is the smooth operator of the Tangiers casino, while Nicky is his boyhood friend and tough strongman, robbing and shaking down the locals. However, they each have a tragic flaw--Ace falls in love with a hustler, Ginger, and Nicky falls into an ever-deepening spiral of drugs and violence.",Martin Scorsese,"United States, France",178,movie_images/Movie16 Casino.jpg,EJXDMwGWhoA,0,new movies,TRUE,https://www.youtube.com/watch?v=EJXDMwGWhoA,15
17,Sense and Sensibility,"Drama, Romance",1995,"When Mr. Dashwood (Tom Wilkinson) dies, he must leave the bulk of his estate to the son by his first marriage, which leaves his second wife and their three daughters Elinor (Dame Emma Thompson), Marianne (Kate Winslet), and Margaret (Emilie François), in straitened circumstances. They are taken in by a kindly cousin, but their lack of fortune affects the marriageability of practical Elinor and romantic Marianne. When Elinor forms an attachment for the wealthy Edward Ferrars (Hugh Grant), his family disapproves and separates them. And though Mrs. Jennings (Elizabeth Spriggs) tries to match the worthy (and rich) Colonel Brandon (Alan Rickman) to her, Marianne finds the dashing and fiery John Willoughby (Greg Wise) more to her taste. Both relationships are sorely tried.",Ang Lee,"United Kingdom, United States",136,movie_images/Movie17 Sense and Sensibility.jpg,2WGq2Rbs1Qg,1,most popular,TRUE,https://www.youtube.com/watch?v=2WGq2Rbs1Qg,16
18,Four Rooms,Comedy,1995,"This movie features the collaborative directorial efforts of four new filmmakers, each of whom directs a segment of this comedy. It's New Year's Eve at the Mon Signor Hotel, a former grand old Hollywood hotel, now fallen upon hard times. Often using physical comedy and sight gags, this movie chronicles the slapstick misadventures of Ted, the Bellhop. He's on his first night on the job, when he's asked to help out a coven of witches in the Honeymoon Suite. Things only get worse when he delivers ice to the wrong room and ends up in a domestic argument at a really bad time. Next, he foolishly agrees to watch a gangster's kids for him while he's away. Finally, he finishes off the night refereeing a ghastly wager.","Allison Anders, Alexandre Rockwell, Robert Rodriguez, Quentin Tarantino, Chuck Jones",United States,98,movie_images/Movie18 Four Rooms.jpg,0hu12MP7b1U,0,most popular,TRUE,https://www.youtube.com/watch?v=0hu12MP7b1U,17
20,Money Train,"Action, Comedy, Crime, Drama, Thriller",1995,"Two foster brothers work as transit cops. While one's life is as good as it gets, the other's is a pit. After losing his job, getting dumped by his brother, and getting the crap kicked out of him by a loan shark for the umpteenth time, He implements his plan to steal the ""money train,"" a train carrying the New York Subway's weekly revenue. But when things go awry, will his brother be able to save him in time?",Joseph Ruben,United States,110,movie_images/Movie20 Money Train.jpg,UvX1KeYzSjw,0,most popular,TRUE,https://www.youtube.com/watch?v=UvX1KeYzSjw,18
21,Get Shorty,"Comedy, Crime, Thriller",1995,"Some guys get all the luck, whether they like it or not. Chili Palmer happens to be in Hollywood collecting a gambling debt when he's struck by lightning (not literally). Called a natural for the movie business, he's snagged up by a producer. The rest is history.",Barry Sonnenfeld,United States,105,movie_images/Movie21 Get Shorty.jpg,yNLaTtpovys,0,tv series,TRUE,https://www.youtube.com/watch?v=yNLaTtpovys,19
22,Copycat,"Crime, Drama, Horror, Mystery, Thriller",1995,"In San Francisco, the criminal psychologist Helen Hudson is specialized in serial-killers. During a trial, the accused Daryll Lee Cullum kills a police officer and tries to kill her and she becomes agoraphobic. Now Helen lives a reclusive life with her gay friend Andy that helps her. Sometime later, there is a wave of crimes and Detectives M.J. Monahan and Reuben Goetz are investigating the murder cases. Helen identifies that the murderer is copycatting notorious serial-killers and she anonymously contacts the Police Department. After fourteen phone calls, she is identified by the police. Detectives M.J. and Reuben visit her and Helen teams up with them and prepares the profile of the killer that wants to be famous. But soon the copycat killer Peter Foley contacts and stalks Helen and M.J. and Reuben give protection to her. Will they be capable to stop Foley before the next murder?",Jon Amiel,United States,123,movie_images/Movie22 Copycat.jpg,5Pp64srMAH4,0,most popular,TRUE,https://www.youtube.com/watch?v=5Pp64srMAH4,20
23,Assassins,"Action, Crime, Thriller",1995,"Robert Rath is a seasoned hitman who just wants out of the business with no back talk. But, as things go, it ain't so easy. A younger, peppier assassin named Bain is having a field day trying to kill said older assassin. Rath teams up with a computer hacker named Electra to defeat the obsessed Bain.",Richard Donner,"France, United States",133,movie_images/Movie23 Assassins.jpg,XCuD8Q_Y10Q,0,most popular,TRUE,https://www.youtube.com/watch?v=XCuD8Q_Y10Q,21
24,Powder,"Drama, Sci-Fi",1995,"When sheriff Barnum investigates the death of an elderly rural resident, he discovers a teenage grandson living in the basement. Raised by his grandparents, he has experienced the world only through books, never leaving the family farm. He is sent to a state home for boys where he has trouble fitting in socially. His odd appearance and unusual abilities cause the small town residents to fear and ridicule him. However, not all are afraid. Some begin to view his potential and gifts with wonderment.",Victor Salva,United States,111,movie_images/Movie24 Powder.jpg,dM1jktXwcSI,0,most popular,TRUE,https://www.youtube.com/watch?v=dM1jktXwcSI,22
25,Leaving Las Vegas,"Drama, Romance",1995,"Because his wife left him and took his son with her, screenwriter Ben Sanderson has started drinking, a lot. He's getting more and more isolated and he troubles women in bars because he wants to have sex with them. When he gets fired, he decides to leave everything behind and move to Las Vegas and drink himself to death. In Las Vegas he meets Sera, a prostitute with some problems as well who he moves in with.",Mike Figgis,United States,111,movie_images/Movie25 Leaving Las Vegas.jpg,O4HrGa2-RLc,0,most popular,TRUE,https://www.youtube.com/watch?v=O4HrGa2-RLc,23
26,Othello,Drama,1995,"Iago convinces Othello, The Moor of Venice that his wife, Desdemona has been unfaithful. Iago is an evil, manipulative character with his own agenda. A plot of jealousy and rage transpires in this classic Shakespearean tale.",Oliver Parker,"United Kingdom, United States",123,movie_images/Movie26 Othello.jpg,WIIjya_5Oro,0,most popular,TRUE,https://www.youtube.com/watch?v=WIIjya_5Oro,24
27,Now and Then,"Children, Drama",1995,"Four childhood friends, who are now in their thirties, are having a reunion. Their lives have gone separate and very different ways. Together again, they reminisce about their younger years, especially the eventful period when they were 12.",Lesli Linka Glatter,United States,102,movie_images/Movie27 Now and Then.jpg,RQLVzTtt2Ws,0,new movies,TRUE,https://www.youtube.com/watch?v=RQLVzTtt2Ws,25
28,Persuasion,"Drama, Romance",1995,"Eight years ago, Anne Elliot rejected Frederick Wentworth, the man she loved, out of a sense of duty and obedience. Now an ignored and faded spinster, she follows her financially stricken family from their home, only to be reintroduced to the now successful and wealthy Captain Frederick Wentworth. With their roles reversed and Captain Wentworth the eligible and wealthy bachelor, Anne navigates the scheming society that still tries to keep them apart.",Roger Michell,"United Kingdom, United States, France",103,movie_images/Movie28 Persuasion.jpg,Fz7HmgPJQak,0,most popular,TRUE,https://www.youtube.com/watch?v=Fz7HmgPJQak,26
29,City of Lost Children,"Adventure, Drama, Fantasy, Mystery, Sci-Fi",1995,"Set in a dystopian society, someone is kidnapping the children. Krank and his band of clones are using the children to harvest their dreams. Then they kidnap Denree, the brother of One, a fairground strongman. One sets out to find his brother.","Marc Caro, Jean-Pierre Jeunet","France, Germany, Spain, Belgium, United States",112,movie_images/Movie29 The City of Lost Children.jpg,Pa7oVPru4J8,0,new movies,TRUE,https://www.youtube.com/watch?v=Pa7oVPru4J8,27
30,Shanghai Triad ,"Crime, Drama",1995,"Uncle Liu brings his cousin to Shanghai to work for 'Boss,' the leader of a powerful drug empire in the 1930's. Shuisheng, a simple country boy is awed and overwhelmed by the opulence and immense wealth he is suddenly surrounded by. He is to be the attendant of Xiao Jingbao, the new mistress of 'Boss.' While he fumbles with the demands of his new role, much intrigue is going on around him, well beyond his bewildered perception. Xiao Jingbao is having a tumultuous affair, Fat Yu is starting a gang war, and 'Boss' is beginning to suspect that one of his trusted men is not loyal.",Yimou Zhang,"France, China",108,movie_images/Movie30 Shanghai Triad.jpg,xgIHRczRE1Q,0,most popular,TRUE,https://www.youtube.com/watch?v=xgIHRczRE1Q,28
31,Dangerous Minds,Drama,1995,"Louanne Johnson is an ex-marine, hired as a teacher in a high-school in a poor area of the city. She has recently separated from her husband. Her friend, also teacher in the school, got the temporary job for her. After a terrible reception from the students, she tries unconventional methods of teaching (using karate, Bob Dylan lyrics etc) to gain the trust of the students.",John N. Smith,United States,99,movie_images/Movie31 Dangerous Minds.jpg,5OGZlKXC0xk,1,most popular,TRUE,https://www.youtube.com/watch?v=5OGZlKXC0xk,29
32,Twelve Monkeys (a.k.a. 12 Monkeys),"Mystery, Sci-Fi, Thriller",1995,"James Cole, a prisoner of the state in the year 2035, can earn parole if he agrees to travel back in time and thwart a devastating plague. The virus has wiped out most of the Earth's population and the remainder live underground because the air is poisonous. Returning to the year 1990, six years before the start of the plague, Cole is soon imprisoned in a psychiatric facility because his warnings sound like mad ravings. There he meets a scientist named Dr. Kathryn Railly and Jeffrey Goines, the mad son of an eminent virologist. Cole is returned by the authorities to the year 2035, and finally ends up at his intended destination in 1996. He kidnaps Dr. Railly in order to enlist her help in his quest. Cole discovers graffiti by an apparent animal rights group called the Army of the Twelve Monkeys, but as he delves into the mystery, he hears voices, loses his bearings, and doubts his own sanity. He must figure out if Goines, who seems to be a raving lunatic, holds the key to the puzzle.",Terry Gilliam,United States,129,movie_images/Movie32 12 Monkeys.jpg,15s4Y9ffW_o,1,most popular,TRUE,https://www.youtube.com/watch?v=15s4Y9ffW_o,30
34,Babe,"Children, Drama",1995,"Gentle farmer Arthur Hoggett wins a piglet named Babe at a county fair. Narrowly escaping his fate as Christmas dinner when Farmer Hoggett decides to show him at the next fair, Babe bonds with motherly border collie Fly and discovers that he can herd sheep too. But will the other farm animals, including Fly's jealous husband, Rex, accept a pig who doesn't conform to the farm's social hierarchy?",Chris Noonan,"Australia, United States, United Kingdom",91,movie_images/Movie33 Babe.jpg,yuzXPzgBDvo,0,most popular,TRUE,https://www.youtube.com/watch?v=yuzXPzgBDvo,31
35,Carrington,"Drama, Romance",1995,"The story of the relationship between painter Dora Carrington (Dame Emma Thompson) and author Lytton Strachey (Jonathan Pryce) in a World War I England of cottages and countryside. Although platonic due to Strachey's homosexuality, the relationship was nevertheless a deep and complicated one. When Carrington did develop a more physical relationship with soldier Ralph Partridge (Steven Waddington), Strachey was able to welcome him as a friend, although Partridge remained somewhat uneasy, not so much with Strachey's sexual orientation as with the fact that he was a conscientious objector.",Christopher Hampton,"United Kingdom, France",121,movie_images/Movie34 Carrington.jpg,w60AMje46pA,0,most popular,TRUE,https://www.youtube.com/watch?v=w60AMje46pA,32
36,Dead Man Walking,"Crime, Drama",1995,"A convicted murderer on Death Row and the nun who befriends him. Through the portrayal of finely drawn characters and their interactions as the days, hours, and minutes tick down to the condemned man's execution, powerful emotions are unleashed. While Matthew Poncelet and Sister Prejean desperately try to gain a stay of execution from the governor or the courts, scenes are intercut from the brutal crime, gradually revealing the truth about the events that transpired. In addition to her temporal help, the nun also tries to reach out spiritually and assist as a guide to salvation.",Tim Robbins,"United Kingdom, United States",122,movie_images/Movie35 Dead Man Walking.jpg,a-tLJ-OXN9I,0,new movies,TRUE,https://www.youtube.com/watch?v=a-tLJ-OXN9I,33
37,Across the Sea of Time,"Documentary, IMAX",1995,"A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all immigrants in former times. Thomas is searching for the family of one of his ancestors, who had emigrated decades ago, but once sent a letter home together with a sample of his new profession: 3D-Photography. The boy follows his relative's traces by counter-checking the old 3D-Photographs of New York (using an antique viewer) with the same places and how they look today. This way, the audience gets to see the Big Apple in former times as well as today.",Stephen Low,United States,51,movie_images/Movie36 Across the Sea of Time.jpg,CYWtLEJg_OY,1,new movies,TRUE,https://www.youtube.com/watch?v=CYWtLEJg_OY,34
38,It Takes Two,"Children, Comedy",1995,"A rich girl named Alyssa and an orphan named Amanda are two little girls who are identical, but complete strangers who accidentally meet one day. Together they form a plan to try getting Alyssa's father, Roger, to prevent making the biggest mistake of his life: marrying an awful woman named Clarisse.",Andy Tennant,United States,101,movie_images/Movie37 It Takes Two.jpg,ohClxMmNLQQ,0,most popular,TRUE,https://www.youtube.com/watch?v=ohClxMmNLQQ,35
39,Clueless,"Comedy, Romance",1995,"Cher, a high school student in Beverly Hills, must survive the ups and downs of adolescent life. Her external demeanor at first seems superficial, but rather it hides her wit, charm, and intelligence which help her to deal with relationships, friends, family, school, and the all-important teenage social life.",Amy Heckerling,United States,97,movie_images/Movie38 Clueless.jpg,Mgjwq1ZzdPQ,0,new movies,TRUE,https://www.youtube.com/watch?v=Mgjwq1ZzdPQ,36
40,"Cry, the Beloved Country",Drama,1995,"South African church minister Steven Kumalo is summoned from his village to Johannesburg. There he finds that his son Absolom has been jailed in connection with a robbery in which a white man was killed. The father of the white man, James Jarvis, is a supporter of apartheid, the separation of the races which is the law of South Africa. When they encounter each other, both Kumalo and Jarvis come to unexpected realizations not only about their sons, but about the nature of their own humanity.",Darrell Roodt,"South Africa, United States",106,"movie_images/Movie39 Cry, the Beloved Country.jpg",G0i5S__Ns_Y,1,most popular,TRUE,https://www.youtube.com/watch?v=G0i5S__Ns_Y,37
41,Richard III,"Drama, War",1995,"William Shakespeare's classic play is brought into the present with the setting as Great Britian in the 1930s. Civil war has erupted with the House of Lancaster on one side, claiming the right to the British throne and hoping to bring freedom to the country. Opposing is the House of York, commanded by the infamous Richard III (Sir Ian McKellen), who rules over a fascist government and hopes to install himself as a dictator monarch.",Richard Loncraine,"United Kingdom, United States",110,movie_images/Movie40 Richard III.jpg,OXc0-EME0C8,0,most popular,TRUE,https://www.youtube.com/watch?v=OXc0-EME0C8,38
42,Dead Presidents,"Action, Crime, Drama",1995,"This action film, directed by the Hughes brothers, depicts a heist of old bills, retired from circulation and destined by the government to be ""money to burn."" However, more broadly, it addresses the issues of Black Americans' involvement in the Vietnam War and their subsequent disillusionment with progress in social issues and civil rights back home in the United States, during the 1960's.","Albert Hughes, Allen Hughes",United States,119,movie_images/Movie41 Dead Presidents.jpg,iB3JtJJZJG8,0,most popular,TRUE,https://www.youtube.com/watch?v=iB3JtJJZJG8,39
43,Restoration,Drama,1995,"An aspiring young doctor, Robert Merivel found himself in the service of King Charles II and saves the life of a spaniel dear to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry one of the King's mistresses in order to divert the suspicions of another one of his mistresses. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunites with an old friend, he rediscovers his love for true medicine and what it really means to be a doctor.",Michael Hoffman,"United States, United Kingdom",117,movie_images/Movie42 Restoration.jpg,CvsAuHYBgEQ,0,most popular,TRUE,https://www.youtube.com/watch?v=CvsAuHYBgEQ,40
44,Mortal Kombat,"Action, Adventure, Fantasy",1995,"Based on the popular video game of the same name ""Mortal Kombat"" tells the story of an ancient tournament where the best of the best of different Realms fight each other. The goal: 10 wins to be able to legally invade the losing Realm. Outworld has so far collected 9 wins against Earthrealm, so it's up to Lord Rayden and his fighters to stop Outworld from reaching the final victory.",Paul W.S. Anderson,United States,101,movie_images/Movie43 Mortal Kombat.jpg,QJHY4ggYCk4,0,tv series,TRUE,https://www.youtube.com/watch?v=QJHY4ggYCk4,41
45,To Die For,"Comedy, Drama, Thriller",1995,"Suzanne Stone (Kidman) knows exactly what she wants. She wants to be a television newscaster and she is willing to do anything to get what she wants. What she lacks in intelligence, she makes up for in cold determination and diabolical wiles. As she pursues her goal with relentless focus, she is forced to destroy anything and anyone that may stand in her way, regardless of the ultimate cost or means necessary.",Gus Van Sant,"United States, United Kingdom, Canada",106,movie_images/Movie44 To Die For.jpg,gSz13CIyX7M,0,most popular,TRUE,https://www.youtube.com/watch?v=gSz13CIyX7M,42
46,How to Make an American Quilt,"Drama, Romance",1995,"Finn is a young graduate student, finishing a master's thesis, and preparing for marriage to her fiance Sam. But thoughts of the end of the free life, and a potential summer fling, intrude. She goes home to her grandmother, where, over the making of her wedding gift by a group of quilting-bee friends, laughter, bickering, love, and advice lead her toward a more open-eyed examination of her course.",Jocelyn Moorhouse,United States,117,movie_images/Movie45 How to Make an American Quilt.jpg,K5_2VgJUSBA,0,new movies,TRUE,https://www.youtube.com/watch?v=K5_2VgJUSBA,43
47,Seven (a.k.a. Se7en),"Mystery, Thriller",1995,"A film about two homicide detectives' (Morgan Freeman and Brad Pitt) desperate hunt for a serial killer who justifies his crimes as absolution for the world's ignorance of the Seven Deadly Sins. The movie takes us from the tortured remains of one victim to the next as the sociopathic ""John Doe"" (Kevin Spacey) sermonizes to Detectives Somerset and Mills -- one sin at a time. The sin of Gluttony comes first and the murderer's terrible capacity is graphically demonstrated in the dark and subdued tones characteristic of film noir. The seasoned and cultured but jaded Somerset researches the Seven Deadly Sins in an effort to understand the killer's modus operandi while the bright but green and impulsive Detective Mills (Pitt) scoffs at his efforts to get inside the mind of a killer...",David Fincher,United States,127,movie_images/Movie46 Seven.jpg,mHuytjblds8,1,new movies,TRUE,https://www.youtube.com/watch?v=mHuytjblds8,44
48,Pocahontas,"Animation, Children, Drama, Musical, Romance",1995,"This is the Disney animated tale of the romance between a young Native American woman named Pocahontas (Irene Bedard) and Captain John Smith (Mel Gibson), who journeyed to the New World with other settlers to begin fresh lives. Her powerful father, Chief Powhatan (Russell Means), disapproves of their relationship and wants her to marry a native warrior. Meanwhile, Smith's fellow Englishmen hope to rob the Native Americans of their gold. Can Pocahontas' love for Smith save the day?","Mike Gabriel, Eric Goldberg","United States, Japan",81,movie_images/Movie47 Pocahontas.jpg,5iB82S8rHyg,0,most popular,TRUE,https://www.youtube.com/watch?v=5iB82S8rHyg,45
49,When Night Is Falling,"Drama, Romance",1995,"Camille and Martin are in love and teachers at a christian college; they get the opportunity to get a better job, but they would have to marry for that. But when Camille's dog dies, she recognises that her love for Martin is not even as big as the love for her dog. After that, Camille gets to know Petra, and Petra falls in love with gCamille. They meet again, but Camille is Camille and Martin are in love and teachers at a christian college; they get the opportunity to get a better job, but they would have to marry for that. But when Camille's dog dies, she recognizes that her love for Martin is not even as big as the love for her dog. After that, Camille gets to know Petra, and Petra falls in love with Camille. They meet again, but Camille is very unsure about her feelings. When Martin is away for a weekend, Camille and Petra meet in the Circus where Petra is working as an acrobat. They spend the night together, but Martin finds out about it and is shocked. He has an argument with Camille, and she goes burying her dog in the snow, and falls asleep...",Patricia Rozema,Canada,94,movie_images/Movie48 When Night Is Falling.jpg,J5mszOh_Qis,1,most popular,TRUE,https://www.youtube.com/watch?v=J5mszOh_Qis,46
